region,fluseas,hemi,country,date,sentin,cases
AFR,NH,NH,Algeria,2018-01-07,NOTDEFINED,2
AFR,NH,NH,Algeria,2018-01-14,NOTDEFINED,5
AFR,NH,NH,Algeria,2018-01-21,NOTDEFINED,3
AFR,NH,NH,Algeria,2019-11-03,NOTDEFINED,1
AFR,NH,NH,Algeria,2019-12-08,NOTDEFINED,2
AFR,NH,NH,Algeria,2019-12-15,NOTDEFINED,2
AFR,NH,NH,Algeria,2019-12-22,NOTDEFINED,2
AFR,NH,NH,Algeria,2019-12-29,NOTDEFINED,2
AFR,NH,NH,Algeria,2020-01-05,NOTDEFINED,0
AFR,NH,NH,Algeria,2020-01-12,NOTDEFINED,1
AFR,NH,NH,Algeria,2020-01-19,NOTDEFINED,1
AFR,NH,NH,Algeria,2020-01-26,NOTDEFINED,0
AFR,NH,NH,Algeria,2020-02-02,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-02-05,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-02-12,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-02-19,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-02-26,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-03-05,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-03-12,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-03-19,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-03-26,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-04-02,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-04-09,NOTDEFINED,2
AFR,YR,NH,Cameroon,2017-04-16,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-04-23,NOTDEFINED,0
AFR,YR,NH,Cameroon,2017-04-30,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-05-07,NOTDEFINED,1
AFR,YR,NH,Cameroon,2017-05-14,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-03-17,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-03-24,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-03-31,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-04-07,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-04-14,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-04-21,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-04-28,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-05-05,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-05-12,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-05-19,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-05-26,NOTDEFINED,5
AFR,YR,NH,Cameroon,2019-06-02,NOTDEFINED,2
AFR,YR,NH,Cameroon,2019-06-09,NOTDEFINED,2
AFR,YR,NH,Cameroon,2019-06-16,NOTDEFINED,5
AFR,YR,NH,Cameroon,2019-06-23,NOTDEFINED,4
AFR,YR,NH,Cameroon,2019-06-30,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-07-07,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-07-14,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-07-21,NOTDEFINED,2
AFR,YR,NH,Cameroon,2019-07-28,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-08-04,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-08-11,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-08-18,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-08-25,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-09-01,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-09-08,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-09-15,NOTDEFINED,3
AFR,YR,NH,Cameroon,2019-09-22,NOTDEFINED,3
AFR,YR,NH,Cameroon,2019-09-29,NOTDEFINED,3
AFR,YR,NH,Cameroon,2019-10-06,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-10-13,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-10-20,NOTDEFINED,1
AFR,YR,NH,Cameroon,2019-10-27,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-11-03,NOTDEFINED,0
AFR,YR,NH,Cameroon,2019-11-10,NOTDEFINED,0
